store_name,store_addr,address_code,store_city,store_town,store_dist
신한C&S,"부산광역시 영도구 산업로 3 (청학동)",26200,부산광역시,영도구,
심곡,"경기도 부천시 원미구 신흥로 51",41190,경기도,부천시,
쌍문,"서울특별시 도봉구 도봉로 609",11320,서울특별시,도봉구,
아산배방,"충청남도 아산시 배방읍 북수로 8",44200,충청남도,아산시,
아산신도시,"충청남도 아산시 배방읍 새아산로 20-2",44200,충청남도,아산시,
아산신창,"충청남도 아산시 신창면 서부북로 868",44200,충청남도,아산시,
안동송현,"경상북도 안동시 경동로 355",47170,경상북도,안동시,
안동용상,"경상북도 안동시 관광단지로 46 (용상동)",47170,경상북도,안동시,
안산공단,"경기도 안산시 단원구 번영로 109 시화공단４라",41273,경기도,안산시,단원구
안산공원,"경기도 안산시 단원구 광덕1로 268",41273,경기도,안산시,단원구
안산단원,"경기도 안산시 단원구 화정로 78(와동)",41273,경기도,안산시,단원구
안산사동,"경기도 안산시 상록구 선진로 3 (사동)",41271,경기도,안산시,상록구
안산점,"경기도 안산시 단원구 신길로 14-16(신길동)",41273,경기도,안산시,단원구
안성,"경기도 안성시 안성맞춤대로 1252 (당왕동)",41550,경기도,안성시,
안양,"경기도 안양시 동안구관악대로 276 (관양동)",41170,경기도,안양시,
안양호계,"경기도 안양시 동안구 경수대로 495 (호계동)",41173,경기도,안양시,동안구
야탑,"경기도 성남시 분당구 판교로 572 (야탑동)",41135,경기도,성남시,분당구
양덕,"경상북도 포항시 북구 양덕남로 139",47113,경상북도,포항시,북구
양재,"서울특별시 서초구 동산로2길 48",11650,서울특별시,서초구,
어은터널,"전라북도 전주시 덕진구 어은로 138 (진북동)",45113,전라북도,전주시,덕진구
언남신도시,"경기도 용인시 기흥구 마북로2번길 69",41463,경기도,용인시,기흥구
여수점,"전라남도 여수시 좌수영로 307(오림동)",46130,전라남도,여수시,
여주,"경기도 여주시 홍문동 여흥로 128번길 16",41670,경기도,여주시,
역촌,"서울특별시 은평구 연서로 65",11380,서울특별시,은평구,
연산토곡,"부산광역시 수영구 과정로 85(망미동)",26500,부산광역시,수영구,
연지사랑가득,"부산광역시 부산진구 동평로 239",26230,부산광역시,부산진구,
영광,"전라남도 영광군 영광읍 단주리 626-5",46870,전라남도,영광군,
영종하늘도시,"인천광역시 중구 운중로 169(중산동) 스피드메이트 영종하늘",28110,인천광역시,중구,
영주점,"경상북도 영주시 대학로262번길 1",47210,경상북도,영주시,
영통,"경기도 수원시 영통구 청명로 73 (영통동)",41117,경기도,수원시,영통구
영통제일,"경기도 수원시 영통구 영통로 317",41117,경기도,수원시,영통구
예산,"충청남도 예산군 예산읍 예산로 126",44810,충청남도,예산군,
오일프러스,"서울특별시 강남구 남부순환로 2651 (도곡동)",11680,서울특별시,강남구,
오창IC,"충청북도 청주시 청원군 오창읍 오창대로 410",43110,충청북도,청주시,
오태,"경상북도 구미시 금오대로 323 (오태동)",47190,경상북도,구미시,
오터스동백,"경기도 용인시 기흥구 어정로 52",41463,경기도,용인시,기흥구
오포,"경기도 광주시 오포읍 오포로 781",41610,경기도,광주시,
옥계,"경상북도 구미시 산호대로39길 14-9",47190,경상북도,구미시,
올림픽,"서울특별시 송파구 위례성대로 188 (올림픽 주유소내)",11710,서울특별시,송파구,
와동,"경기도 안산시 단원구 와동공원로 55 (와동)",41273,경기도,안산시,단원구
왕십리역사,"서울특별시 성동구 왕십리광장로 17 4층주차장",11200,서울특별시,성동구,
왜관,"경상북도 칠곡군 왜관읍 중앙로 162-2",47850,경상북도,칠곡군,
용담,"제주특별자치도 제주시 남성로 36-1 (용담일동)",50110,제주특별자치도,제주시,
용산서빙고,"서울특별시 용산구 녹사평대로11길 24",11170,서울특별시,용산구,
용암,"충청북도 청주시 상당구 중고개로 295",43111,충청북도,청주시,상당구
용인양지,"경기도 용인시 처인구 양지면 중부대로 2018",41461,경기도,용인시,처인구
용인점,"경기도 용인시 기흥구 중부대로 199(영덕동)",41463,경기도,용인시,기흥구
용인행복,"경기도 용인시 처인구 백옥대로 959",41461,경기도,용인시,처인구
운암,"광주광역시 광산구 북문대로 396-7 (신창동)",29200,광주광역시,광산구,
운암뜰,"경기도 오산시 경기대로 317",41370,경기도,오산시,
운정,"경기도 파주시 가람로21번길 7-5(와동동) 109호",41480,경기도,파주시,
운정신도시,"경기도 파주시 산내로 104번길 14-16",41480,경기도,파주시,
울산무거,"울산광역시 남구 삼호로 87-1 (무거동)",31140,울산광역시,남구,
울산성안,"울산광역시 중구 성안로 199 (성안동)",31110,울산광역시,중구,
울산월드컵,"울산광역시 남구 문수로 93",31140,울산광역시,남구,
울산중구,"울산광역시 중구 명륜로 135-1(교동)",31110,울산광역시,중구,
울산호계,"울산광역시 북구 호계동 1000-7",31200,울산광역시,북구,
웅상,"경상남도 양산시 웅상대로 1228",48330,경상남도,양산시,
원주,"강원도 원주시 포란재로 54(태전동)",42130,강원특별자치도,원주시,
원주보성,"강원도 원주시 남산로48번길 71 (명륜동)",42130,강원특별자치도,원주시,
원주태장,"강원도 원주시 현충로 62 (태장동)",42130,강원특별자치도,원주시,
원주혁신점,"강원도 원주시 동부순환로 95 (반곡동)",42130,강원특별자치도,원주시,
원평,"경상북도 구미시 산업로 112 (원평동)",47190,경상북도,구미시,
월산,"광주광역시 남구 대남대로315",29155,광주광역시,남구,
월피,"경기도 안산시 상록구 안산천서로 223 (월피동)",41271,경기도,안산시,상록구
윈윈,"서울특별시 영등포구 가마산로 379",11560,서울특별시,영등포구,
유공판매,"경기도 고양시 일산동구 백마로 56",41285,경기도,고양시,일산동구
유성,"대전광역시 유성구 유성대로783번길 13 (장대동)",30200,대전광역시,유성구,
유성지족,"대전광역시 유성구 은구비남로7번길 60 (지족동)",30200,대전광역시,유성구,
유화,"인천광역시 계양구 아나지로 240",28245,인천광역시,계양구,
으뜸_광주,"광주광역시 북구 군왕로 177 (두암동)",29170,광주광역시,북구,
은평뉴타운,"서울특별시 은평구 통일로 924",11380,서울특별시,은평구,
응암,"서울특별시 은평구 가좌로 177 (응암동)",11380,서울특별시,은평구,
